source_url,appointment_id,brand,model,variant,year,km_driven,fuel_type,transmission,body_type,ownership,listing_price_inr,asking_price_lakh,original_price_inr,city,rto,stock_type,scraped_at
https://www.cars24.com/buy-used-renault-triber-2020-cars-new-delhi-44513399113/,44513399113,Renault,TRIBER,RXE MT,2020,39097,Petrol,Manual,SUV,2,315940.0,3.16,393634.0,New Delhi,HR19,CARS24_OWNED,2026-08-30T10:48:45+00:00
https://www.cars24.com/buy-used-renault-kwid-2024-cars-chennai-43958476171/,43958476171,Renault,Kwid,CLIMBER MT 1.0,2024,19171,Petrol,Manual,Hatchback,1,478420.0,4.78,512420.0,Chennai,TN25,CARS24_OWNED,2026-08-30T10:48:45+00:00
https://www.cars24.com/buy-used-nissan-magnite-2023-cars-new-delhi-41122679197/,41122679197,Nissan,MAGNITE,XL,2023,40563,Petrol,Manual,SUV,2,409615.0,4.1,420015.0,New Delhi,DL9C,CARS24_OWNED,2026-08-30T10:48:45+00:00
https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-ahmedabad-21322191160/,21322191160,Hyundai,Grand i10,SPORTZ U2 1.2 CRDI,2017,90434,Diesel,Manual,Hatchback,1,335936.0,3.36,383436.0,Ahmedabad,GJ02,CARS24_OWNED,2026-08-30T10:48:45+00:00
https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2016-cars-rajkot-19033400704/,19033400704,Maruti,Wagon R 1.0,VXI,2016,111095,Petrol,Manual,Hatchback,1,237114.0,2.37,292116.0,Rajkot,GJ08,CARS24_OWNED,2026-08-30T10:48:45+00:00
https://www.cars24.com/buy-used-tata-tigor-2019-cars-new-delhi-18284379196/,18284379196,Tata,TIGOR,XZ PLUS PETROL,2019,80297,Petrol,Manual,Sedan,3,312776.0,3.13,324776.0,New Delhi,UK07,CARS24_OWNED,2026-08-30T10:48:45+00:00
https://www.cars24.com/buy-used-tata-nexon-2021-cars-kochi-17824993144/,17824993144,Tata,NEXON,XM SUNROOF PETROL,2021,18373,Petrol,Manual,SUV,1,662577.0,6.63,711507.0,Kochi,KL77,CARS24_OWNED,2026-08-30T10:48:45+00:00
https://www.cars24.com/buy-used-jeep-compass-2018-cars-kolkata-17369506747/,17369506747,Jeep,Compass,LIMITED (O) 1.4 PETROL AT,2018,67425,Petrol,Automatic,SUV,2,641636.0,6.42,788456.0,Howrah,WB02,CARS24_OWNED,2026-08-30T10:48:45+00:00
https://www.cars24.com/buy-used-maruti-ertiga-2013-cars-lucknow-15912793122/,15912793122,Maruti,Ertiga,VXI,2013,42781,Petrol,Manual,SUV,1,360436.0,3.6,400936.0,Lucknow,UP70,CARS24_OWNED,2026-08-30T10:48:45+00:00
https://www.cars24.com/buy-used-maruti-swift-2023-cars-hyderabad-15817094102/,15817094102,Maruti,Swift,VXI CNG,2023,91940,CNG,Manual,Hatchback,1,566220.0,5.66,611620.0,Hyderabad,AP39,CARS24_OWNED,2026-08-30T10:48:45+00:00
